id_lectura,sensor_id,humedad_suelo,temperatura_suelo,conductividad_electrica,timestamp
51,7,63.69,31.7,1.201,2025-10-02 12:00:00
52,7,66.48,30.2,1.202,2025-10-02 18:00:00
53,10,56.12,27.0,1.068,2025-10-02 00:00:00
54,10,53.0,27.8,1.144,2025-10-02 06:00:00
55,10,52.16,32.9,1.142,2025-10-02 12:00:00
56,10,55.16,30.0,1.164,2025-10-02 18:00:00
57,13,69.8,26.8,1.223,2025-10-02 00:00:00
58,13,70.34,27.1,1.256,2025-10-02 06:00:00
59,13,65.2,31.3,1.246,2025-10-02 12:00:00
60,13,69.04,29.5,1.178,2025-10-02 18:00:00
61,17,68.65,27.4,1.319,2025-10-02 00:00:00
62,17,67.62,27.7,1.215,2025-10-02 06:00:00
63,17,64.58,32.6,1.148,2025-10-02 12:00:00
64,17,67.52,30.9,1.248,2025-10-02 18:00:00
65,20,65.65,27.3,1.214,2025-10-02 00:00:00
66,20,63.67,27.9,1.288,2025-10-02 06:00:00
67,20,63.5,30.2,1.157,2025-10-02 12:00:00
68,20,66.19,29.1,1.219,2025-10-02 18:00:00
69,23,55.28,27.3,1.119,2025-10-02 00:00:00
70,23,55.37,29.6,1.061,2025-10-02 06:00:00
71,23,54.02,32.3,1.196,2025-10-02 12:00:00
72,23,55.72,31.4,1.135,2025-10-02 18:00:00
73,25,54.1,26.6,1.105,2025-10-02 00:00:00
74,25,53.17,27.9,1.198,2025-10-02 06:00:00
75,25,50.09,32.2,1.003,2025-10-02 12:00:00
76,25,53.46,29.9,1.135,2025-10-02 18:00:00
77,29,69.48,27.3,1.235,2025-10-02 00:00:00
78,29,67.9,28.3,1.223,2025-10-02 06:00:00
79,29,67.1,31.7,1.161,2025-10-02 12:00:00
80,29,68.5,30.2,1.242,2025-10-02 18:00:00
81,1,58.27,21.7,1.15,2025-10-03 00:00:00
82,1,57.84,22.3,1.194,2025-10-03 06:00:00
83,1,54.9,26.5,1.116,2025-10-03 12:00:00
84,1,57.1,25.5,1.196,2025-10-03 18:00:00
85,5,61.79,20.0,1.204,2025-10-03 00:00:00
86,5,60.69,20.6,1.06,2025-10-03 06:00:00
87,5,60.66,24.0,1.204,2025-10-03 12:00:00
88,5,62.24,23.3,1.152,2025-10-03 18:00:00
89,7,67.35,20.7,1.171,2025-10-03 00:00:00
90,7,66.02,21.0,1.275,2025-10-03 06:00:00
91,7,62.69,25.5,1.142,2025-10-03 12:00:00
92,7,65.39,24.6,1.231,2025-10-03 18:00:00
93,10,53.05,21.0,1.141,2025-10-03 00:00:00
94,10,52.28,22.6,1.137,2025-10-03 06:00:00
95,10,50.27,26.8,1.122,2025-10-03 12:00:00
96,10,52.38,25.1,1.174,2025-10-03 18:00:00
97,13,66.28,22.5,1.19,2025-10-03 00:00:00
98,13,64.86,23.6,1.099,2025-10-03 06:00:00
99,13,62.42,26.8,1.203,2025-10-03 12:00:00
100,13,67.22,25.5,1.277,2025-10-03 18:00:00
101,17,66.91,21.5,1.147,2025-10-03 00:00:00
102,17,65.9,22.3,1.209,2025-10-03 06:00:00
103,17,63.86,24.6,1.138,2025-10-03 12:00:00
104,17,66.05,24.3,1.209,2025-10-03 18:00:00
105,20,64.08,20.2,1.116,2025-10-03 00:00:00
106,20,63.25,22.5,1.257,2025-10-03 06:00:00
107,20,60.16,25.3,1.173,2025-10-03 12:00:00
108,20,64.96,24.0,1.267,2025-10-03 18:00:00
109,23,54.44,20.4,1.113,2025-10-03 00:00:00
110,23,54.0,22.3,1.102,2025-10-03 06:00:00
111,23,50.54,24.5,1.175,2025-10-03 12:00:00
112,23,54.02,23.8,1.134,2025-10-03 18:00:00
113,25,52.72,19.5,1.116,2025-10-03 00:00:00
114,25,51.08,20.2,1.023,2025-10-03 06:00:00
115,25,48.43,24.1,1.147,2025-10-03 12:00:00
116,25,49.79,22.3,1.095,2025-10-03 18:00:00
117,29,67.09,21.1,1.187,2025-10-03 00:00:00
118,29,65.47,20.8,1.152,2025-10-03 06:00:00
119,29,63.38,23.8,1.171,2025-10-03 12:00:00
120,29,66.37,21.9,1.193,2025-10-03 18:00:00
121,1,56.86,26.8,1.112,2025-10-04 00:00:00
122,1,54.54,26.9,1.051,2025-10-04 06:00:00
123,1,53.85,32.4,1.111,2025-10-04 12:00:00
124,1,55.72,30.3,1.288,2025-10-04 18:00:00
125,5,59.24,28.0,1.118,2025-10-04 00:00:00
126,5,57.89,28.6,1.093,2025-10-04 06:00:00
127,5,58.38,32.9,1.15,2025-10-04 12:00:00
128,5,60.71,31.0,1.121,2025-10-04 18:00:00
129,7,64.67,27.8,1.119,2025-10-04 00:00:00
130,7,64.06,30.2,1.114,2025-10-04 06:00:00
131,7,61.77,32.4,1.146,2025-10-04 12:00:00
132,7,63.35,30.8,1.183,2025-10-04 18:00:00
133,10,51.18,26.1,1.078,2025-10-04 00:00:00
134,10,50.48,27.8,1.054,2025-10-04 06:00:00
135,10,47.95,31.5,1.004,2025-10-04 12:00:00
136,10,50.81,29.3,1.133,2025-10-04 18:00:00
137,13,65.26,26.8,1.146,2025-10-04 00:00:00
138,13,64.23,26.8,1.182,2025-10-04 06:00:00
139,13,60.75,30.8,1.167,2025-10-04 12:00:00
140,13,63.53,29.5,1.231,2025-10-04 18:00:00
141,17,66.07,27.5,1.073,2025-10-04 00:00:00
142,17,63.51,28.0,1.171,2025-10-04 06:00:00
143,17,62.45,31.0,1.179,2025-10-04 12:00:00
144,17,64.53,30.3,1.2,2025-10-04 18:00:00
145,20,61.94,27.6,1.151,2025-10-04 00:00:00
146,20,61.02,29.5,1.21,2025-10-04 06:00:00
147,20,58.53,32.5,1.131,2025-10-04 12:00:00
148,20,59.66,29.9,1.064,2025-10-04 18:00:00
149,23,50.1,26.8,1.142,2025-10-04 00:00:00
150,23,46.57,28.0,1.118,2025-10-04 06:00:00
151,23,45.16,32.0,1.088,2025-10-04 12:00:00
152,23,48.51,30.2,1.205,2025-10-04 18:00:00
153,25,48.63,27.7,1.049,2025-10-04 00:00:00
154,25,47.87,28.0,1.111,2025-10-04 06:00:00
155,25,46.08,32.3,1.051,2025-10-04 12:00:00
156,25,48.09,29.8,1.066,2025-10-04 18:00:00
157,29,65.32,28.1,1.213,2025-10-04 00:00:00
158,29,64.62,28.0,1.125,2025-10-04 06:00:00
159,29,59.7,32.7,1.191,2025-10-04 12:00:00
160,29,63.58,30.6,1.125,2025-10-04 18:00:00
161,1,53.98,29.0,1.057,2025-10-05 00:00:00
162,1,53.78,30.7,1.128,2025-10-05 06:00:00
163,1,50.2,34.5,1.228,2025-10-05 12:00:00
164,1,53.19,32.3,1.112,2025-10-05 18:00:00
165,5,55.72,29.8,1.166,2025-10-05 00:00:00
166,5,57.1,30.5,1.067,2025-10-05 06:00:00
167,5,53.87,33.8,1.116,2025-10-05 12:00:00
168,5,56.58,32.2,1.18,2025-10-05 18:00:00
169,7,62.58,29.3,1.136,2025-10-05 00:00:00
170,7,61.76,30.1,1.178,2025-10-05 06:00:00
171,7,59.35,33.6,1.117,2025-10-05 12:00:00
172,7,62.93,32.0,1.185,2025-10-05 18:00:00
173,10,46.08,29.9,1.014,2025-10-05 00:00:00
174,10,45.76,32.0,1.089,2025-10-05 06:00:00
175,10,44.5,35.3,1.093,2025-10-05 12:00:00
176,10,47.87,33.3,1.069,2025-10-05 18:00:00
177,13,62.41,29.1,1.139,2025-10-05 00:00:00
178,13,60.4,30.1,1.156,2025-10-05 06:00:00
179,13,59.38,33.0,1.139,2025-10-05 12:00:00
180,13,61.3,32.5,1.121,2025-10-05 18:00:00
181,17,62.35,29.0,1.127,2025-10-05 00:00:00
182,17,60.32,31.2,1.1,2025-10-05 06:00:00
183,17,59.01,34.5,1.066,2025-10-05 12:00:00
184,17,62.76,31.6,1.239,2025-10-05 18:00:00
185,20,61.02,27.7,1.149,2025-10-05 00:00:00
186,20,59.82,29.8,1.193,2025-10-05 06:00:00
187,20,56.24,32.0,1.073,2025-10-05 12:00:00
188,20,59.32,29.9,1.184,2025-10-05 18:00:00
189,23,45.89,31.3,1.154,2025-10-05 00:00:00
190,23,43.17,31.8,1.051,2025-10-05 06:00:00
191,23,42.62,35.2,0.937,2025-10-05 12:00:00
192,23,44.19,33.6,0.993,2025-10-05 18:00:00
193,25,47.61,29.1,1.114,2025-10-05 00:00:00
194,25,43.64,31.6,1.047,2025-10-05 06:00:00
195,25,43.12,34.1,1.089,2025-10-05 12:00:00
196,25,44.32,32.6,1.033,2025-10-05 18:00:00
197,29,61.88,28.0,1.155,2025-10-05 00:00:00
198,29,61.76,28.9,1.093,2025-10-05 06:00:00
199,29,57.86,32.7,1.174,2025-10-05 12:00:00
200,29,59.81,31.4,1.071,2025-10-05 18:00:00
201,1,52.7,23.0,1.139,2025-10-06 00:00:00
202,1,50.28,22.8,1.123,2025-10-06 06:00:00
203,1,48.5,27.2,1.027,2025-10-06 12:00:00
204,1,49.97,26.1,1.098,2025-10-06 18:00:00
205,5,56.29,22.5,1.143,2025-10-06 00:00:00
206,5,53.67,23.5,1.107,2025-10-06 06:00:00
207,5,52.22,27.0,1.176,2025-10-06 12:00:00
208,5,53.83,25.7,1.101,2025-10-06 18:00:00
209,7,60.31,23.5,1.206,2025-10-06 00:00:00
210,7,60.07,24.9,1.135,2025-10-06 06:00:00
211,7,59.13,29.0,1.137,2025-10-06 12:00:00
212,7,60.15,27.1,1.24,2025-10-06 18:00:00
213,10,45.25,21.5,1.021,2025-10-06 00:00:00
214,10,44.21,23.0,1.077,2025-10-06 06:00:00
215,10,44.06,26.0,1.114,2025-10-06 12:00:00
216,10,45.15,25.0,1.105,2025-10-06 18:00:00
217,13,60.57,21.7,1.286,2025-10-06 00:00:00
218,13,58.17,22.3,1.118,2025-10-06 06:00:00
219,13,56.24,25.8,1.197,2025-10-06 12:00:00
220,13,60.32,24.3,1.12,2025-10-06 18:00:00
221,17,61.6,21.9,1.247,2025-10-06 00:00:00
222,17,61.38,23.4,1.149,2025-10-06 06:00:00
223,17,58.17,27.3,1.182,2025-10-06 12:00:00
224,17,62.05,25.6,1.132,2025-10-06 18:00:00
225,20,59.93,21.1,1.171,2025-10-06 00:00:00
226,20,56.98,23.0,1.268,2025-10-06 06:00:00
227,20,54.57,25.7,1.18,2025-10-06 12:00:00
228,20,58.04,25.3,1.177,2025-10-06 18:00:00
229,23,42.54,22.3,1.109,2025-10-06 00:00:00
230,23,41.32,23.8,1.08,2025-10-06 06:00:00
231,23,38.25,26.7,1.09,2025-10-06 12:00:00
232,23,40.23,25.3,1.022,2025-10-06 18:00:00
233,25,45.08,22.7,1.103,2025-10-06 00:00:00
234,25,46.4,23.2,1.089,2025-10-06 06:00:00
235,25,42.87,27.6,1.052,2025-10-06 12:00:00
236,25,45.39,25.6,1.082,2025-10-06 18:00:00
237,29,58.14,22.1,1.114,2025-10-06 00:00:00
238,29,58.41,22.2,1.123,2025-10-06 06:00:00
239,29,55.76,27.3,1.131,2025-10-06 12:00:00
240,29,57.51,25.9,1.073,2025-10-06 18:00:00
241,1,49.23,22.1,1.127,2025-10-07 00:00:00
242,1,47.66,24.0,1.131,2025-10-07 06:00:00
243,1,46.48,26.3,1.045,2025-10-07 12:00:00
244,1,49.21,25.1,1.143,2025-10-07 18:00:00
245,5,53.78,21.0,1.158,2025-10-07 00:00:00
246,5,52.65,22.4,1.146,2025-10-07 06:00:00
247,5,49.31,25.8,1.158,2025-10-07 12:00:00
248,5,52.96,23.6,1.115,2025-10-07 18:00:00
249,7,60.15,21.3,1.16,2025-10-07 00:00:00
250,7,57.63,22.9,1.114,2025-10-07 06:00:00
251,7,57.7,26.0,1.145,2025-10-07 12:00:00
252,7,59.27,24.3,1.279,2025-10-07 18:00:00
253,10,47.04,21.0,1.054,2025-10-07 00:00:00
254,10,44.95,21.9,1.19,2025-10-07 06:00:00
255,10,43.14,25.8,1.148,2025-10-07 12:00:00
256,10,44.95,24.1,1.056,2025-10-07 18:00:00
257,13,58.31,20.8,1.199,2025-10-07 00:00:00
258,13,57.15,22.1,1.121,2025-10-07 06:00:00
259,13,54.87,25.4,1.22,2025-10-07 12:00:00
260,13,57.44,24.5,1.179,2025-10-07 18:00:00
261,17,60.67,20.9,1.23,2025-10-07 00:00:00
262,17,58.73,23.1,1.134,2025-10-07 06:00:00
263,17,56.57,25.0,1.113,2025-10-07 12:00:00
264,17,59.4,24.5,1.305,2025-10-07 18:00:00
265,20,55.6,21.6,1.108,2025-10-07 00:00:00
266,20,55.17,22.9,1.125,2025-10-07 06:00:00
267,20,53.75,26.3,1.029,2025-10-07 12:00:00
268,20,54.78,23.5,1.229,2025-10-07 18:00:00
269,23,43.88,21.4,1.09,2025-10-07 00:00:00
270,23,40.74,23.0,1.083,2025-10-07 06:00:00
271,23,40.06,25.5,1.057,2025-10-07 12:00:00
272,23,42.01,23.5,1.05,2025-10-07 18:00:00
273,25,45.63,21.5,1.092,2025-10-07 00:00:00
274,25,44.99,22.7,1.008,2025-10-07 06:00:00
275,25,43.94,25.5,0.986,2025-10-07 12:00:00
276,25,45.34,23.3,1.085,2025-10-07 18:00:00
277,29,55.25,20.8,1.158,2025-10-07 00:00:00
278,29,55.54,22.8,1.194,2025-10-07 06:00:00
279,29,52.79,25.9,1.182,2025-10-07 12:00:00
280,29,55.12,24.4,1.114,2025-10-07 18:00:00
281,1,46.78,21.7,1.098,2025-10-08 00:00:00
282,1,47.67,20.8,1.19,2025-10-08 06:00:00
283,1,44.76,26.3,1.017,2025-10-08 12:00:00
284,1,47.87,23.7,1.056,2025-10-08 18:00:00
285,5,52.22,22.2,1.121,2025-10-08 00:00:00
286,5,50.32,24.2,1.099,2025-10-08 06:00:00
287,5,48.19,27.0,1.144,2025-10-08 12:00:00
288,5,51.47,25.3,1.052,2025-10-08 18:00:00
289,7,58.22,21.8,1.166,2025-10-08 00:00:00
290,7,57.58,23.0,1.226,2025-10-08 06:00:00
291,7,55.68,26.2,1.182,2025-10-08 12:00:00
292,7,58.77,24.2,1.182,2025-10-08 18:00:00
293,10,46.31,21.1,1.079,2025-10-08 00:00:00
294,10,43.83,21.5,1.143,2025-10-08 06:00:00
295,10,42.03,25.2,0.945,2025-10-08 12:00:00
296,10,44.69,23.6,1.15,2025-10-08 18:00:00
297,13,56.01,21.2,1.011,2025-10-08 00:00:00
298,13,55.56,21.7,1.051,2025-10-08 06:00:00
299,13,52.54,27.1,1.184,2025-10-08 12:00:00
300,13,54.68,24.7,1.171,2025-10-08 18:00:00
301,17,58.33,20.9,1.136,2025-10-08 00:00:00
302,17,55.52,22.2,1.084,2025-10-08 06:00:00
303,17,54.0,25.8,1.194,2025-10-08 12:00:00
304,17,58.11,23.4,1.099,2025-10-08 18:00:00
305,20,55.25,20.9,1.137,2025-10-08 00:00:00
306,20,52.24,22.1,1.129,2025-10-08 06:00:00
307,20,50.03,26.1,1.099,2025-10-08 12:00:00
308,20,54.25,24.5,1.194,2025-10-08 18:00:00
309,23,44.34,20.8,1.031,2025-10-08 00:00:00
310,23,42.27,21.1,1.141,2025-10-08 06:00:00
311,23,39.81,25.0,1.003,2025-10-08 12:00:00
312,23,44.02,23.7,1.127,2025-10-08 18:00:00
313,25,45.76,20.4,1.106,2025-10-08 00:00:00
314,25,45.54,21.2,1.067,2025-10-08 06:00:00
315,25,43.24,24.7,1.108,2025-10-08 12:00:00
316,25,47.48,23.0,1.016,2025-10-08 18:00:00
317,29,60.14,20.4,1.189,2025-10-08 00:00:00
318,29,58.6,21.4,1.141,2025-10-08 06:00:00
319,29,54.83,24.6,1.097,2025-10-08 12:00:00
320,29,56.81,23.7,1.102,2025-10-08 18:00:00
321,1,47.23,27.1,1.07,2025-10-09 00:00:00
322,1,46.56,27.2,1.045,2025-10-09 06:00:00
323,1,42.39,31.0,1.009,2025-10-09 12:00:00
324,1,45.74,30.0,1.059,2025-10-09 18:00:00
325,5,52.23,26.0,1.117,2025-10-09 00:00:00
326,5,51.66,26.3,1.121,2025-10-09 06:00:00
327,5,48.25,30.3,1.115,2025-10-09 12:00:00
328,5,51.64,28.1,1.065,2025-10-09 18:00:00
329,7,57.72,23.8,1.066,2025-10-09 00:00:00
330,7,57.38,24.6,1.186,2025-10-09 06:00:00
331,7,53.68,28.8,1.122,2025-10-09 12:00:00
332,7,55.85,27.4,1.113,2025-10-09 18:00:00
333,10,45.46,24.9,1.055,2025-10-09 00:00:00
334,10,43.32,27.1,1.062,2025-10-09 06:00:00
335,10,42.28,29.9,1.064,2025-10-09 12:00:00
336,10,46.62,28.3,1.047,2025-10-09 18:00:00
337,13,53.76,25.3,1.125,2025-10-09 00:00:00
338,13,51.61,25.7,0.965,2025-10-09 06:00:00
339,13,51.28,29.7,1.068,2025-10-09 12:00:00
340,13,53.98,27.4,1.076,2025-10-09 18:00:00
341,17,56.26,24.8,1.119,2025-10-09 00:00:00
342,17,54.64,26.1,1.096,2025-10-09 06:00:00
343,17,53.22,29.1,1.043,2025-10-09 12:00:00
344,17,56.44,28.2,1.253,2025-10-09 18:00:00
345,20,53.73,23.8,1.064,2025-10-09 00:00:00
346,20,52.41,24.9,1.158,2025-10-09 06:00:00
347,20,50.05,28.5,1.092,2025-10-09 12:00:00
348,20,51.63,27.0,1.153,2025-10-09 18:00:00
349,23,40.29,24.2,0.944,2025-10-09 00:00:00
350,23,41.24,24.6,1.045,2025-10-09 06:00:00
351,23,38.52,28.3,0.916,2025-10-09 12:00:00
352,23,39.73,26.8,0.925,2025-10-09 18:00:00
353,25,44.39,24.7,1.062,2025-10-09 00:00:00
354,25,44.91,26.6,1.13,2025-10-09 06:00:00
355,25,42.39,29.8,1.022,2025-10-09 12:00:00
356,25,44.81,27.3,1.072,2025-10-09 18:00:00
357,29,56.24,24.9,1.115,2025-10-09 00:00:00
358,29,54.03,26.4,1.075,2025-10-09 06:00:00
359,29,51.61,29.6,1.168,2025-10-09 12:00:00
360,29,54.81,27.6,1.143,2025-10-09 18:00:00
361,1,46.19,26.6,1.065,2025-10-10 00:00:00
362,1,44.55,28.0,1.09,2025-10-10 06:00:00
363,1,43.22,30.9,1.106,2025-10-10 12:00:00
364,1,44.03,29.9,1.141,2025-10-10 18:00:00
365,5,51.77,25.9,1.012,2025-10-10 00:00:00
366,5,52.58,26.9,1.104,2025-10-10 06:00:00
367,5,48.72,31.1,1.133,2025-10-10 12:00:00
368,5,52.13,29.1,1.104,2025-10-10 18:00:00
369,7,57.46,26.6,1.203,2025-10-10 00:00:00
370,7,55.52,26.6,1.153,2025-10-10 06:00:00
371,7,52.85,30.5,1.146,2025-10-10 12:00:00
372,7,56.87,29.3,1.157,2025-10-10 18:00:00
373,10,43.02,27.6,1.077,2025-10-10 00:00:00
374,10,43.97,28.6,1.057,2025-10-10 06:00:00
375,10,39.95,31.7,0.997,2025-10-10 12:00:00
376,10,42.97,30.6,1.141,2025-10-10 18:00:00
377,13,53.29,26.3,1.12,2025-10-10 00:00:00
378,13,51.65,27.7,1.104,2025-10-10 06:00:00
379,13,50.62,30.4,1.082,2025-10-10 12:00:00
380,13,53.36,29.1,1.207,2025-10-10 18:00:00
381,17,55.48,25.1,1.196,2025-10-10 00:00:00
382,17,54.95,28.1,1.101,2025-10-10 06:00:00
383,17,53.54,31.1,1.222,2025-10-10 12:00:00
384,17,57.54,29.4,1.196,2025-10-10 18:00:00
385,20,50.34,26.5,1.094,2025-10-10 00:00:00
386,20,49.13,27.8,1.143,2025-10-10 06:00:00
387,20,47.56,31.7,1.028,2025-10-10 12:00:00
388,20,49.84,29.1,1.006,2025-10-10 18:00:00
389,23,40.36,26.9,1.103,2025-10-10 00:00:00
390,23,40.15,26.9,0.993,2025-10-10 06:00:00
391,23,37.38,31.0,1.119,2025-10-10 12:00:00
392,23,41.42,28.7,0.993,2025-10-10 18:00:00
393,25,44.47,25.4,1.093,2025-10-10 00:00:00
394,25,42.91,26.6,0.914,2025-10-10 06:00:00
395,25,41.32,31.5,1.131,2025-10-10 12:00:00
396,25,43.47,28.9,1.084,2025-10-10 18:00:00
397,29,57.6,25.3,1.102,2025-10-10 00:00:00
398,29,55.52,26.3,1.151,2025-10-10 06:00:00
399,29,54.91,29.5,1.204,2025-10-10 12:00:00
400,29,56.46,28.4,1.101,2025-10-10 18:00:00
401,1,42.98,23.7,1.102,2025-10-11 00:00:00
402,1,40.83,24.5,1.073,2025-10-11 06:00:00
403,1,38.5,29.7,1.035,2025-10-11 12:00:00
404,1,42.34,26.6,1.038,2025-10-11 18:00:00
405,5,49.78,24.2,1.232,2025-10-11 00:00:00
406,5,48.4,24.8,1.109,2025-10-11 06:00:00
407,5,48.08,28.2,1.047,2025-10-11 12:00:00
408,5,48.12,26.7,1.066,2025-10-11 18:00:00
409,7,54.91,25.3,1.199,2025-10-11 00:00:00
410,7,54.02,26.0,1.121,2025-10-11 06:00:00
411,7,51.47,30.1,1.073,2025-10-11 12:00:00
412,7,54.07,28.9,1.086,2025-10-11 18:00:00
413,10,44.75,22.9,1.065,2025-10-11 00:00:00
414,10,42.41,24.0,1.099,2025-10-11 06:00:00
415,10,40.22,27.4,1.093,2025-10-11 12:00:00
416,10,43.9,26.6,1.035,2025-10-11 18:00:00
417,13,54.39,22.9,1.165,2025-10-11 00:00:00
418,13,51.79,23.1,1.117,2025-10-11 06:00:00
419,13,50.73,27.5,1.146,2025-10-11 12:00:00
420,13,52.1,25.5,1.137,2025-10-11 18:00:00
421,17,55.81,23.5,1.077,2025-10-11 00:00:00
422,17,53.12,24.7,1.128,2025-10-11 06:00:00
423,17,51.9,28.4,1.112,2025-10-11 12:00:00
424,17,54.42,26.6,1.184,2025-10-11 18:00:00
425,20,50.81,25.8,1.116,2025-10-11 00:00:00
426,20,48.88,26.2,1.107,2025-10-11 06:00:00
427,20,47.77,30.3,1.104,2025-10-11 12:00:00
428,20,49.78,26.9,1.09,2025-10-11 18:00:00
429,23,43.14,25.1,1.017,2025-10-11 00:00:00
430,23,40.39,25.6,1.009,2025-10-11 06:00:00
431,23,37.22,29.7,1.086,2025-10-11 12:00:00
432,23,40.13,28.4,1.036,2025-10-11 18:00:00
433,25,43.63,25.4,1.006,2025-10-11 00:00:00
434,25,42.44,26.1,1.029,2025-10-11 06:00:00
435,25,41.38,30.0,1.099,2025-10-11 12:00:00
436,25,41.71,27.9,1.102,2025-10-11 18:00:00
437,29,59.64,23.2,1.19,2025-10-11 00:00:00
438,29,56.7,24.1,1.055,2025-10-11 06:00:00
439,29,53.65,27.6,1.177,2025-10-11 12:00:00
440,29,58.17,26.0,1.14,2025-10-11 18:00:00
441,1,41.36,24.4,1.102,2025-10-12 00:00:00
442,1,38.94,26.3,1.052,2025-10-12 06:00:00
443,1,38.84,29.3,1.016,2025-10-12 12:00:00
444,1,39.86,27.7,1.079,2025-10-12 18:00:00
445,5,52.88,23.4,1.109,2025-10-12 00:00:00
446,5,50.07,25.0,1.054,2025-10-12 06:00:00
447,5,48.21,28.4,1.114,2025-10-12 12:00:00
448,5,50.67,26.9,0.969,2025-10-12 18:00:00
449,7,57.41,24.9,1.192,2025-10-12 00:00:00
450,7,56.1,26.6,1.219,2025-10-12 06:00:00
451,7,53.4,29.5,1.04,2025-10-12 12:00:00
452,7,55.11,27.5,1.239,2025-10-12 18:00:00
453,10,45.46,24.1,1.082,2025-10-12 00:00:00
454,10,42.01,24.8,1.021,2025-10-12 06:00:00
455,10,40.58,28.7,1.009,2025-10-12 12:00:00
456,10,41.98,27.4,0.977,2025-10-12 18:00:00
457,13,52.63,25.2,1.183,2025-10-12 00:00:00
458,13,50.23,26.1,1.093,2025-10-12 06:00:00
459,13,50.27,29.7,1.064,2025-10-12 12:00:00
460,13,51.98,27.7,1.166,2025-10-12 18:00:00
461,17,54.64,23.6,1.049,2025-10-12 00:00:00
462,17,54.57,25.8,1.048,2025-10-12 06:00:00
463,17,53.07,28.8,1.126,2025-10-12 12:00:00
464,17,56.14,28.0,1.123,2025-10-12 18:00:00
465,20,50.46,23.9,1.107,2025-10-12 00:00:00
466,20,49.57,24.6,1.106,2025-10-12 06:00:00
467,20,48.1,27.9,1.159,2025-10-12 12:00:00
468,20,50.17,27.0,1.136,2025-10-12 18:00:00
469,23,43.02,24.1,1.064,2025-10-12 00:00:00
470,23,41.21,25.6,1.041,2025-10-12 06:00:00
471,23,37.73,28.9,1.031,2025-10-12 12:00:00
472,23,41.86,27.2,1.114,2025-10-12 18:00:00
473,25,45.0,23.4,1.116,2025-10-12 00:00:00
474,25,42.88,24.6,1.127,2025-10-12 06:00:00
475,25,39.88,28.6,1.052,2025-10-12 12:00:00
476,25,42.47,27.4,1.094,2025-10-12 18:00:00
477,29,57.77,23.9,1.092,2025-10-12 00:00:00
478,29,55.12,23.8,1.12,2025-10-12 06:00:00
479,29,53.2,28.2,1.185,2025-10-12 12:00:00
